City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Nuevo Progreso,MX,2021-11-05 02:18:01,23.1667,-97.95,64.47,75,26,7.0
266,Ammon,US,2021-11-05 02:18:02,43.4696,-111.9666,50.05,85,90,1.99
267,Portland,US,2021-11-05 02:19:12,45.5234,-122.6762,53.58,88,75,4.0
268,Kaeo,NZ,2021-11-05 02:18:03,-35.1,173.7833,63.32,94,100,6.4
269,Juneau,US,2021-11-05 02:15:48,58.3019,-134.4197,43.21,97,90,0.0
270,Liberty,US,2021-11-05 02:18:03,31.8335,-81.5004,55.44,63,1,10.36
271,Tigil,RU,2021-11-05 02:18:03,57.8,158.6667,32.61,100,99,6.67
272,Port Keats,AU,2021-11-05 02:18:03,-14.25,129.55,91.98,55,41,10.56
273,Adra,ES,2021-11-05 02:18:04,36.7496,-3.0206,58.86,46,49,7.27
274,Santa Rosa,PH,2021-11-05 02:11:47,14.3122,121.1114,88.09,72,100,11.74
275,Zyryanka,RU,2021-11-05 02:18:04,65.75,150.85,4.66,83,13,11.77
276,Tilichiki,RU,2021-11-05 02:22:57,60.4667,166.1,18.93,94,100,3.42
277,Tautira,PF,2021-11-05 02:14:10,-17.7333,-149.15,86.02,77,27,11.86
278,Nhulunbuy,AU,2021-11-05 02:18:05,-12.2333,136.7667,88.41,62,75,10.36
279,Pochutla,MX,2021-11-05 02:18:05,15.7432,-96.4661,76.82,87,88,3.96
280,Caravelas,BR,2021-11-05 02:22:57,-17.7125,-39.2481,74.12,87,90,4.25
281,Kologriv,RU,2021-11-05 02:18:06,58.8275,44.3178,42.24,88,90,9.31
282,Geraldton,AU,2021-11-05 02:22:58,-28.7667,114.6,72.12,46,75,18.41
283,Bac Lieu,VN,2021-11-05 02:18:07,9.285,105.7244,84.29,74,72,13.4
284,Baykit,RU,2021-11-05 02:22:58,61.67,96.37,12.34,90,100,10.69
285,Galesong,ID,2021-11-05 02:18:07,-5.3166,119.3661,86.02,69,100,0.78
286,Krasnyy Chikoy,RU,2021-11-05 02:18:08,50.3643,108.7512,8.6,57,100,8.79
287,Gopalganj,IN,2021-11-05 02:18:08,26.4667,84.4333,68.77,64,8,1.7
288,Samarai,PG,2021-11-05 02:18:08,-10.6167,150.6667,83.05,73,12,9.89
289,Bollnas,SE,2021-11-05 02:13:59,61.3482,16.3946,40.12,98,100,3.02
290,Bitung,ID,2021-11-05 02:18:09,1.4451,125.1824,85.05,66,92,5.5
291,Angul,IN,2021-11-05 02:18:09,20.85,85.1,72.91,82,38,2.1
292,Komsomolskiy,UZ,2021-11-05 02:22:59,40.4272,71.7189,34.95,47,75,4.61
293,Rio Grande,BR,2021-11-05 02:17:37,-32.035,-52.0986,68.95,89,45,7.38
294,Vila Velha,BR,2021-11-05 02:13:23,-20.3297,-40.2925,75.15,83,75,11.5
